epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3861.43,1.14103,1.14017,1.31723,0.94739,0.92164,0.96446,0.78008,0.87057,0.78557,0.9205,0.000709809,0.000709809,0.000709809
60,3927.66,1.10761,1.13512,1.29003,0.93364,0.84211,0.93649,0.73716,0.85796,0.85446,0.87241,0.000693305,0.000693305,0.000693305
61,3993.83,1.14335,1.11508,1.31162,0.93489,0.90844,0.93611,0.71978,0.8763,0.82361,0.89846,0.000676802,0.000676802,0.000676802
62,4060.73,1.13035,1.13843,1.31156,0.8838,0.84418,0.91637,0.67105,0.90985,0.87068,0.94908,0.000660299,0.000660299,0.000660299
63,4126.97,1.10227,1.10254,1.30906,0.84751,0.82301,0.87637,0.57217,1.00918,0.93101,1.01448,0.000643795,0.000643795,0.000643795
64,4193.51,1.08557,1.10828,1.30572,0.91902,0.83225,0.87872,0.66657,0.99666,0.83708,1.01373,0.000627292,0.000627292,0.000627292
65,4260.11,1.07898,1.0688,1.27616,0.88275,0.87218,0.89766,0.68431,0.99436,0.84935,0.96057,0.000610789,0.000610789,0.000610789
66,4326.81,1.09842,1.10473,1.28547,0.90052,0.86765,0.90783,0.68177,0.92498,0.83085,0.92031,0.000594286,0.000594286,0.000594286
67,4393.9,1.05906,1.05362,1.27091,0.89216,0.83946,0.91949,0.69846,0.93747,0.84012,0.92437,0.000577782,0.000577782,0.000577782
68,4460.82,1.07197,1.05133,1.27043,0.88996,0.89706,0.92845,0.68681,1.03888,0.86536,0.97479,0.000561279,0.000561279,0.000561279
69,4529.78,1.0722,1.00682,1.27528,0.94413,0.88154,0.93214,0.72904,0.90123,0.84153,0.92633,0.000544776,0.000544776,0.000544776
70,4595.87,0.98236,0.97621,1.2249,0.91277,0.85294,0.92193,0.68815,0.9445,0.859,0.94784,0.000528272,0.000528272,0.000528272
71,4662.21,1.05346,0.97869,1.26381,0.82889,0.88873,0.90605,0.68507,0.90602,0.85554,0.92821,0.000511769,0.000511769,0.000511769
72,4728.45,1.06453,0.99104,1.27809,0.84101,0.92647,0.91942,0.7016,0.89269,0.7692,0.94721,0.000495266,0.000495266,0.000495266
73,4794.59,1.07559,1.07877,1.27246,0.911,0.85675,0.92293,0.72238,0.82162,0.73339,0.89099,0.000478762,0.000478762,0.000478762
74,4860.98,1.06767,1.01873,1.28162,0.85506,0.89745,0.91699,0.71247,0.96091,0.81524,0.94707,0.000462259,0.000462259,0.000462259
75,4927.17,1.03206,1.02602,1.26381,0.86015,0.89706,0.9181,0.72033,0.89279,0.82425,0.90144,0.000445756,0.000445756,0.000445756
76,4993.82,0.97413,0.98036,1.22056,0.90651,0.90686,0.94035,0.74137,0.82622,0.76731,0.86445,0.000429253,0.000429253,0.000429253
77,5060.13,1.02624,0.98612,1.24304,0.96217,0.84736,0.9382,0.70921,0.92054,0.76277,0.87778,0.000412749,0.000412749,0.000412749
78,5126.72,1.03373,0.94834,1.2711,0.92055,0.86765,0.94086,0.74361,0.85421,0.75361,0.85679,0.000396246,0.000396246,0.000396246
79,5193.14,0.98034,0.90162,1.22164,0.92109,0.81352,0.93556,0.72218,0.80308,0.81545,0.86647,0.000379743,0.000379743,0.000379743
80,5259.63,0.9727,0.93474,1.22974,0.9324,0.87924,0.94568,0.72403,0.87362,0.75531,0.90203,0.000363239,0.000363239,0.000363239
81,5326.13,0.98743,0.93927,1.25128,0.95202,0.86602,0.93519,0.72617,0.83857,0.73016,0.88433,0.000346736,0.000346736,0.000346736
82,5392.3,0.96677,0.90951,1.2217,0.92388,0.86765,0.92828,0.70809,0.88007,0.8144,0.88934,0.000330233,0.000330233,0.000330233
83,5458.49,0.97662,0.90326,1.20826,0.95048,0.8789,0.93327,0.72353,0.85624,0.77884,0.87126,0.000313729,0.000313729,0.000313729
84,5524.83,0.9121,0.86896,1.18506,0.90562,0.89934,0.93566,0.74178,0.8231,0.72017,0.85825,0.000297226,0.000297226,0.000297226
85,5590.88,0.95196,0.90093,1.21784,0.91496,0.88383,0.93771,0.72728,0.8682,0.76019,0.90832,0.000280723,0.000280723,0.000280723
86,5657.06,0.92551,0.88897,1.19348,0.91537,0.86605,0.92999,0.70141,0.86264,0.7847,0.92223,0.00026422,0.00026422,0.00026422
87,5723.5,0.90872,0.82635,1.1775,0.94805,0.85982,0.93592,0.69008,0.84904,0.77832,0.89883,0.000247716,0.000247716,0.000247716
88,5789.95,0.90237,0.83218,1.1761,0.93526,0.83824,0.92287,0.69157,0.82438,0.79765,0.86941,0.000231213,0.000231213,0.000231213
89,5856.11,0.91445,0.84651,1.1851,0.90908,0.86295,0.93074,0.71615,0.84135,0.7973,0.86802,0.00021471,0.00021471,0.00021471
90,5921.72,0.89965,0.82661,1.17456,0.91303,0.85294,0.92777,0.71105,0.86132,0.78337,0.88951,0.000198206,0.000198206,0.000198206
91,5986.86,0.73691,0.61996,1.13845,0.86599,0.8926,0.90652,0.70332,0.91106,0.80376,0.93792,0.000181703,0.000181703,0.000181703
92,6050.25,0.74934,0.58989,1.13539,0.86829,0.8815,0.89713,0.70678,0.93863,0.82807,0.96566,0.0001652,0.0001652,0.0001652
93,6114.24,0.70446,0.53917,1.11818,0.90211,0.83824,0.90156,0.71158,0.89928,0.80172,0.92937,0.000148696,0.000148696,0.000148696
94,6178.21,0.73862,0.50739,1.12284,0.88223,0.88276,0.91061,0.74292,0.84715,0.76858,0.88387,0.000132193,0.000132193,0.000132193
95,6241.75,0.61869,0.47461,1.04127,0.8616,0.89527,0.91172,0.75071,0.80775,0.75471,0.84587,0.00011569,0.00011569,0.00011569
96,6305.06,0.64275,0.46662,1.06494,0.88126,0.89846,0.91886,0.75904,0.7528,0.73003,0.81775,9.91865e-05,9.91865e-05,9.91865e-05
97,6368.37,0.65288,0.47675,1.09815,0.88178,0.89708,0.92227,0.76949,0.74142,0.71376,0.81498,8.26832e-05,8.26832e-05,8.26832e-05
98,6432.28,0.59477,0.45181,1.03741,0.88303,0.90762,0.92361,0.76441,0.74948,0.71788,0.82189,6.61799e-05,6.61799e-05,6.61799e-05
99,6496.37,0.56528,0.45819,1.01845,0.87241,0.91036,0.92237,0.76588,0.75769,0.72781,0.8251,4.96766e-05,4.96766e-05,4.96766e-05
100,6560.79,0.60246,0.45659,1.05551,0.87585,0.88963,0.91746,0.75342,0.75602,0.72474,0.82349,3.31733e-05,3.31733e-05,3.31733e-05
